target_class_l3,activity_records,unique_molecules,unique_targets,mean_pchembl,median_pchembl,min_pchembl,max_pchembl
Bromodomain,22789,10709,22,6.850629689762605,6.89,5.0,10.3
P2X receptor,23367,10309,20,7.212441905250995,7.26,5.0,11.0
Voltage-gated sodium channel,15191,9485,22,6.566873806859325,6.47,5.0,11.0
Transient receptor potential channel,13746,8558,46,7.008172559289975,7.0,5.0,11.0
Protein methyltransferase,4261,2600,11,7.444644449659704,7.56,5.0,11.0
Serine protease,3137,2529,14,7.061326107746255,7.02,5.0,11.0
Plant homeodomain,5383,2073,23,6.3422125208991265,6.26,5.0,10.6
Voltage-gated calcium channel,3200,2059,20,6.590353125,6.47,5.0,10.51
Protein Kinase,1751,1586,22,7.175608223872073,7.32,5.0,10.0
Pore-forming toxins (proteins and peptides),1846,1394,5,6.5320205850487545,6.545,5.0,9.11
5HT3 receptor,1521,1071,6,7.530466798159106,7.7,5.0,10.5
Smoothened receptor (frizzled family GPCR),1509,956,2,6.872200132538104,7.0,5.0,10.1
GABA-A receptor,1328,948,19,7.5566039156626506,7.68,5.0,10.0
Endoplasmic reticular retrotranslocon family,703,594,2,6.43796586059744,6.43,5.0,9.46
Taste receptor (taste family GPCR),594,478,25,6.287878787878788,6.165,5.0,8.31
Protein-glutamine glutamyl-transferase,794,472,7,6.191108312342569,6.105,5.0,8.4
DNA methyltransferase,495,398,5,5.754727272727273,5.6,5.0,9.52
Aspartic protease,252,241,8,7.157420634920635,7.03,5.0,10.3
Protein kinase regulatory subunit,293,236,18,6.307508532423208,6.05,5.04,9.17
Cysteine protease,219,175,4,5.6630593607305935,5.58,5.0,8.7
YEATS domain,308,148,4,6.5590909090909095,6.58,5.04,8.85
Ryanodine receptor,135,125,10,7.016666666666667,7.0,5.0,10.3
Glycine receptor,265,101,5,6.1624150943396225,6.0,5.0,10.22
Nicotinic acetylcholine receptor,109,95,3,6.502201834862386,6.2,5.0,9.22
Oxidoreduction-driven transporters,94,71,4,6.129574468085106,6.02,5.0,8.19
IP3 receptor,161,58,5,7.613975155279503,7.62,5.04,9.85
Acid-sensing ion channel,55,51,5,5.755090909090908,5.59,5.0,7.56
Epithelial sodium channel,48,48,2,7.459791666666667,7.515,6.11,8.22
Cyclic nucleotide-regulated channel,61,32,7,6.129344262295081,5.9,5.03,10.52
Cytochrome P450 family 26,40,28,2,6.688750000000001,6.26,5.04,9.34
Amino acid-polyamine-organocation family,20,19,1,5.7085,5.63,5.03,6.52
Vesicular neurotransmitter transporter family,20,10,1,7.922,7.9,6.16,9.57
Methyl-CpG-binding domain,10,9,2,6.08,5.99,5.07,7.96
Cytochrome P450 CAM family,5,5,1,5.502000000000001,5.4,5.0,6.1
Peptide receptor (family B GPCR),6,4,1,7.298333333333333,7.43,6.49,7.75
Peptide receptor (family A GPCR),4,4,1,7.515,7.54,6.28,8.7
General secretory pathway family,6,3,2,5.8500000000000005,5.85,5.4,6.3
Small molecule receptor (family A GPCR),5,3,2,5.71,5.64,5.28,6.15
Mitochondrial pyruvate carrier family,2,2,1,5.92,5.92,5.92,5.92
F-type and V-type ATPases,1,1,1,6.3,6.3,6.3,6.3
Metallo protease,1,1,1,7.16,7.16,7.16,7.16
Vesicle fusion pores,1,1,1,5.46,5.46,5.46,5.46
